text,Toxic,MedicalTerminology,NonToxic,MinorityGroup,sentence_length
Всъщност отпускането и стягането на този мускул си е същинско еротично изживяване.,0,0,0,0,82
"Много пасивни мъже откриват това чувство, използвайки секс играчки.",0,0,0,0,67
Гей сексът често се фокусира най-вече върху простатата.,0,0,0,0,55
"Със секс играчките, обаче, най-вероятно ще откриете много нови усещания.",0,0,0,0,72
Те ще ви направят по-добър пасивен и ще ви накарат да свикнете по-лесно с особеностите на аналния секс.,0,0,0,0,103
Не забравяйте лубриканта:,0,0,0,0,25
Лубрикантът е изключително важен при аналния секс.,0,0,0,0,50
"Някои мъже използват слюнка, но тя няма да бъде достатъчна, ако активните партньори са по-груби.",0,0,0,0,96
Затова препоръчваме лубрикант на водна или силиконова основа.,0,0,0,0,61
Не се притеснявайте твърде много за ‘инциденти’:,0,0,0,0,48
"Повечето пасивни гей мъже изпадат в паника при идеята, че може би не са се изчистили достатъчно добре.",0,0,0,0,102
"И макар и повечето активни да предпочитат да сте чисти, всички знаят, че никой няма пълен контрол над тялото си, дори след клизма.",0,0,0,0,130
Затова няма смисъл да се притеснявате твърде много за това и да развалите изживяването си.,0,0,0,0,90
Ако забележите кръв – спрете:,0,0,0,0,29
"Внимавайте, ако забележите кръв по време на анален секс.",0,0,0,0,56
"Когато активният не е достатъчно внимателен или вие не сте достатъчно широки, може да се получат фисури.",0,0,0,0,104
"Когато това се случи, риска от заразяване с ХИВ или други сексуално предавани инфекции се увеличава значително.",0,0,0,0,111
"Ако сте наистина отдадени на аналния секс и го практикувате често, това ще се случи в един или друг момент.",0,0,0,0,107
Не се паникьосвайте.,0,0,0,0,20
"Раничките заздравяват (макар и бавно – понякога са нужни месеци), а фибрите помагат за по-бързото възстановяване.",0,0,0,0,113
"Изследвайте се редовно, ако правите секс без презерватив:",0,0,0,0,57
"Живеем във времена, в които много гей мъже приемат PrEP и се предпазват от вируса ХИВ, дори когато правят секс без презерватив.",0,0,0,0,127
"Не е редно да забравяме и за другите сексуално предавани инфекции, обаче.",0,0,0,0,73
"PrEP не предпазва от хламидия, гонорея и сифилис.",0,0,0,0,49
Повечето клиниките препоръчват изследване на всеки три месеца.,0,0,0,0,62
Така ще може да хванете инфекциите на време и да предотвратите влошаването им.,0,0,0,0,78
Лекарствата за стомашно разстройство ще ви помогнат да сте по-чисти:,0,0,0,0,68
"Някои гей мъже взимат Имодуим или което и да е лекарство, което спира стомашното разстройство, няколко часа преди секс, тъй като тези лекарства стягат червата и забавят процеса.",0,0,0,0,177
Клизмата и лекарството със сигурност ще ви подготвят за дълга вечер/нощ.,0,0,0,0,72
"Разбира се, някои гей мъже или специалисти ще ви кажат, че не е полезно да правите това, но честите клизми и грубия секс, причиняващ анални фисури, също не са полезни.",0,0,0,0,167
"След като се разкриеш като гей или бисексуален, идеята за секс с друг мъж често ти се струва стряскаща.",0,0,0,0,103
"Макар и да изглежда просто на пръв поглед, понякога е трудно да се отдадеш емоционално и интимно на друг човек, когато нямаш натрупан опит.",0,0,0,0,139
Затова ние сме насреща с няколко полезни съвета:,0,0,0,0,48
Красивите мъже са безкрайно много:,0,0,0,0,34
Красивите мъже са навсякъде.,0,0,0,0,28
"Затова не се тревожи, ако някой те отхвърли или не отвърне на чувствата ти.",0,0,0,0,75
Това не е краят на света!,0,0,0,0,25
Не взимай глупави решения само за да правиш секс с някого.,0,0,0,0,58
Отпусни се.,0,0,0,0,11
Животът е пред теб – ще имаш достатъчно време да спиш с красавци.,0,0,0,0,65
Използвай презерватив:,0,0,0,0,22
"Ако си се разкрил съвсем наскоро и все още свикваш със свободата, сексуално-предадената инфекция е последното нещо, с което искаш да се занимаваш.",0,0,0,0,146
Затова винаги използвай презерватив!,0,0,0,0,36
Уточни по какво си падаш предварително:,0,0,0,0,39
Сексът не е игра за познаване и догадки.,0,0,0,0,40
"Ако нещо специфично ти харесва, кажи на партньора си предварително, че ще ти хареса, ако той го направи.",0,0,0,0,104
Това е един от големите плюсове на приложения като Grindr.,0,0,0,0,58
Можеш спокойно и свободно да споделиш любимите си фантазии още преди да се срещнете.,0,0,0,0,84
Комуникацията по време на секс е важна:,0,0,0,0,39
"Освен че е хубаво да уточниш по какво си падаш преди началото на сексуалния акт, комуникацията по време на секса също е полезна.",0,0,0,0,128
Ако позата не ти харесва – кажи му.,0,0,0,0,35
Той не чете мисли.,0,0,0,0,18
Обясни му как се чувстваш.,0,0,0,0,26
Не се ограничавай само до един тип мъже:,0,0,0,0,40
"Всички имаме определен тип мъже, които ни привличат.",0,0,0,0,52
"Това, обаче, не означава, че не ти е позволено да експериментираш.",0,0,0,0,66
Винаги е добре да си разшириш хоризонтите.,0,0,0,0,42
Често обществените норми ни диктуват – кое е привлекателно и кое – не.,0,0,0,0,70
"Когато успеем да надскочим тези граници, често научаваме нови неща за себе си.",0,0,0,0,78
Не се ограничавай до една роля:,0,0,0,0,31
2019 година сме.,0,0,0,0,16
Ролите ‘активен’ и ‘пасивен’ са толкова вчерашни.,0,0,0,0,49
Опитай всичко.,0,0,0,0,14
"Когато си ‘гъвкав’ това те прави по-добър в леглото, защото научаваш особеностите и механиките и на двете позиции.",0,0,0,0,114
Можеш да кажеш ‘не’ по всяко време:,0,0,0,0,35
Не се срамувай да кажеш ‘не’ по всяко време – дори да е по време на секс.,0,0,0,0,73
"Ако не се чувстваш комфортно, винаги можеш да прекратиш сексуалния акт.",0,0,0,0,71
В това няма нищо странно или срамно.,0,0,0,0,36
Не се срамувай да попиташ някого за статуса му:,0,0,0,0,47
Никога не трябва да се срамуваш да попиташ някого за статуса му или да го накараш да използва презерватив.,0,0,0,0,106
"Във времената на PrEP все повече хора правят секс без презерватив, но това не означава, че ти нямаш право на избор.",0,0,0,0,115
Използвай лубрикант:,0,0,0,0,20
Лубрикантът е новия ти най-добър приятел!,0,0,0,0,41
"Колкото повече, толкова повече.",0,0,0,0,31
Добре е да проучиш кой вид лубрикант е най-добър за теб.,0,0,0,0,56
"Някои мъже предпочитат тези на водна основа, а други – на силиконова основа.",0,0,0,0,76
"Учени от Университета на Арканзас, САЩ, откриха, че въпреки, че хетеро партньорите правят секс по-често, бисексуалните жени и лесбийките имат повече оргазми – много повече.",0,0,0,0,172
"Изследването, в което са участвали 2300 души, показало, че шансът жена да стигне до оргазъм е 33% по-голям, когато прави секс с друга жена.",0,0,0,0,139
Те също така по-често изпитват по няколко оргазма.,0,0,0,0,50
Жените в еднопоолви връзки имат по средно 55 оргазма на месец.,0,0,0,0,62
"Това е в ярък контраст с жените в хетеро връзки, които успяват да свършат едва 7 пъти.",0,0,0,0,86
"Dr Kristen Jozkowski коментира така: „Секс, който включва по-разнообразно сексуално поведение води до повече оргазми при жените.“ А сексът между жени е „вълнуващо разнообразен“, добавя тя.",0,0,0,0,188
Учените измерили докладваната честота на оргазми при хора от целия сексуален спектър.,0,0,0,0,85
"Те открили, че хетеро мъжете най-често казват, че „обикновено винаги вършват“ – цели 95%.",0,0,0,0,89
При хетеро жените обаче това се случва само в 65% от случаите.,0,0,0,0,62
"Тази разлика е добре документирана и в академичните среди се смята, че жените просто стигат до оргазъм по-рядко от мъжете.",0,0,0,0,122
"Оказва се, че това е хетеронормативна теория.",0,0,0,0,45
"За сравнение, гей мъжете стигат до оргазъм в 89% от сексуалните си актове, а лесбийките – 86%.",0,0,0,0,94
"Тези резултати идват след миналогодишно изследване, което показа, че гей мъжете и лесбийките са по-добри в секса от хетеро хората.",0,0,0,0,130
Популярният порно сайт YouPorn публикува резултатите от любопитно проучване сред потребителите си.,0,0,0,0,98
"Участниците били питани колко често гледат порно, в което хора от собствения им пол правят секс помежду си.",0,0,0,0,107
"В 23% от времето, което хетеросексуалните мъже отделят за гледане на порно, те се наслаждават именно на ласки между мъже.",0,0,0,0,121
Този резултат бледнее в сравнение с данните за хетеро жените – 39% от порно диетата им включва лесбийки.,0,0,0,0,104
"Допитването установило още, че 24% от мъжете, идентифициращи се като хетеро, са правили гей секс.",0,0,0,0,97
"При жените процентът отново е по-висок, 36%.",0,0,0,0,44
Опасно ли е да правите свирки?,0,0,0,0,30
"Да, възможно е да се заразите с ХИВ от оралния секс, но вероятността това да се случи е доста малка.",0,0,0,0,100
"Никой не знае колко опасен всъщност е оралният секс, отчасти защото повечето мъже не приключват с една свирка, а продължават и със секс, и е трудно да се определи кое от двете действия е било причината за заразяването.",0,0,0,0,218
"Рискът е малък, но все пак съществува.",0,0,0,0,38
"Оралният секс е най-честият вид гей секс, което съпоставено с малкото на брой случаи на заразяване с ХИВ от орален контакт и статистиката, че 95% от всички случаи на заразяване се дължат на чукане, това може и да ни поуспокои малко и да полапаме.",0,0,0,0,246
"Причината оралният секс да е по-безопасен е, че гърлото не е толкова податливо на зарази както задника, а също така устата и гърлото не са толкова предразположени към усвояване на течности в кръвоносния поток както тъканта на ануса.",0,0,0,0,232
Дори да гълтате и в спермата да се съдържа вируса на ХИВ обикновено той ще бъде убит от силните стомашни киселини в стомаха.,0,0,0,0,124
"Дори да сте голям фен на гълтането, все пак не го правете, за да минимизирате всички рискове.",0,0,0,0,93
"Не забравяйте, че вируси и бактерии, но в малки количества, се съдържат и в пре-спермата, която се отделя преди изпразването.",0,0,0,0,125
Как да намалите риска от зараза при свирки?,0,0,0,0,43
"Презервативът ще свърши отлична работа, но е някак странно да правиш свирки на някой с презерватив, все едно ядеш десерт с опаковката.",0,0,0,0,134
"Ако гърлото ви боли или е пресъхнало, ако имате рани в устата или афти, ако имате отворени дупки или паднали пломби в устата, ако венците ви кървят, има много по-голяма вероятност да се заразите с болест и избягвайте оралния секс в такива случаи.",0,0,0,0,246
Ако използвате вода за уста преди или след орален секс ще отстраните предпазните свойства на слюнката и така може да повишите риска си от инфекции.,0,0,0,0,147
"Няма нужда да го казваме, но ако този на когото духате е ХИВ-позитивен или преминава през лечение, рискът е доста по-голям.",0,0,0,0,123
"Независимо, че рискът от предаване на ХИВ при орален секс е малък, доста други заболявания предавани по полов път дебнат да преминат през устата, включително хламидия, гонорея, херпес или сифилис.",0,0,0,0,196
Отново може да избегнете това като ползвате кондоми при орален секс.,0,0,0,0,68
Колко е опасно да ти духат?,0,0,0,0,27
"Няма регистрирани случаи на заразени със СПИН от това, че някой им е духал.",0,0,0,0,75
"Но, внимание, по-горните болести като гонорея могат да се предадат и по този начин.",0,0,0,0,83
"И това е така, защото всички тези заболявания са много по-инфекциозни от ХИВ.",0,0,0,0,77
"Тъй като ни е ясно, че няма да сложите презерватив следващия път, когато духате на някой, ви съветваме често да си правите здравни изследвания за полово-предавани болести, за да сте сигурни, че каквото и да сте лепнали е диагностицирано навреме и лекувано правилно.",0,0,0,0,265
"Материалът е подготвен в сътрудничество с фондация GMFA, водещата благотворителна организация във Великобритания, посветена на гей здравето.",0,0,0,0,140
http://www.gmfa.org.uk/,0,0,0,0,23
"Активната роля по време на гей секс може би изглежда лесна, но тя върви ръка за ръка със своите особености и предизвикателства.",0,0,0,0,127
"Въпреки че сексуалната игра винаги е нещо вълнуващо, възможно е да не знаете от къде да започнете.",0,0,0,0,98
"Съществуват и някои грешни движения, които биха могли да наранят партньора ви и да направят изживяването неприятно.",0,0,0,0,115
"Това, обаче, не трябва да е причина за тревога – с малко практика и повече комуникация и доверие ще се превърнете в супергерой.",0,0,0,0,127
"Междувременно, ние сме насреща с няколко важни съвета:",0,0,0,0,54
Какво означава да си ‘активен’?,0,0,0,0,31
Да започнем от самото начало.,0,0,0,0,29
"Активният е този, който прониква по време на сексуалния акт.",0,0,0,0,60
"Повечето хора свързват активните с качества, като доминантност и настойчиво отношение, но те не винаги отговарят на реалността.",0,0,0,0,127
"Ако сте активни и се очаква обмен на телесни течности е важно да се възползвате от предпазни мерки и да сте наясно със статуса си, когато става дума за сексуално предавани инфекции.",0,0,0,0,181
"Как да знам, дали съм ‘активен’?",0,0,0,0,32
"Добрата новина е, че всеки може да бъде ‘активен’.",0,0,0,0,50
"Колкото повече сексуален опит натрупате, толкова по-сигурни ще сте в ролята, която предпочитате.",0,0,0,0,96
"Някои предпочитат да са единствено активни, други предпочитат да са единствено пасивни, а трети харесват и двете и преценяват според партньора и настроението.",0,0,0,0,158
"Добър начин да разберете предпочитаната си роля е да експериментирате с партньор, на когото имате доверие и да прецените какво ви харесва.",0,0,0,0,138
"Как да се подготвя за секс, когато съм ‘активен’?",0,0,0,0,49
"Сексът се получава най-добре, когато предварително са обсъдени очакванията, границите и предпочитанията.",0,0,0,0,104
"Обсъдете какво ви харесва или за кое не сте сигурни, но искате да опитате.",0,0,0,0,74
"Препоръчително е пасивните да се погрижат за специфичната хигиена преди сексуалния контакт, особено ако е планиран анален секс.",0,0,0,0,127
"Разбира се, добре е и вие да сте се подготвили и да сте чисти, освен ако партньора не предпочита обратното.",0,0,0,0,107
"Добре е и да поддържате ноктите си къси, ако планирате да използвате пръстите си.",0,0,0,0,81
Как да се справя с тревожни мисли относно представянето ми като ‘активен’?,0,0,0,0,74
"Ако сте активни за първи път, започнете бавно и не бързайте.",0,0,0,0,60
"Не очаквайте нещата да се случват, както в порно филмите още от първата минута.",0,0,0,0,79
Приемете секса за градивен процес и постоянно комуникирайте с партньора ви и наблюдавайте как се чувства той.,0,0,0,0,109
"Вашето спокойствие е ключов елемент от успешното ви представяне, затова не се тревожете излишно.",0,0,0,0,96
"Ако ви е трудно да контролирате емоциите си, опитайте се да създадете отпускаща атмосфера с подходящо осветление и музика.",0,0,0,0,122
Къде се намира G-точката при мъжете?,0,0,0,0,36
"Вероятно сте чували, че в дупето на мъжа има една специална точка, която е източник на удоволствие.",0,0,0,0,99
Това е простатата.,0,0,0,0,18
"Понякога може да е трудно да я откриете с пениса си, но с пръстите ще се улесните значително.",0,0,0,0,93
"Добре е да започнете, като я откриете първи при самите вас.",0,0,0,0,59
"Използвайте лубрикант и намерете простатата, която обикновено е разположена на 5 см от ректума и е особено чувствителна на допир.",0,0,0,0,129
Аналният секс и предпазването от вируса ХИВ:,0,0,0,0,44
Малко аспекти от аналния секс са по-важни от познаването на статуса си.,0,0,0,0,71
"Изключително важно е участващите в сексуалния акт да са обсъдили състоянието си, когато става дума за сексуално предавани инфекции.",0,0,0,0,131
"Важно е да използвате мерки, чрез които да предпазвате сексуалното си здраве, независимо дали става дума за анален секс или други типове сексуален контакт.",0,0,0,0,155
"Презервативът намалява опасността от заразяването с инфекция, но те не са единствената опция.",0,0,0,0,93
"Някои гей мъже се доверяват на PrEP терапия, която предпазва от вируса ХИВ, дори когато не се използва презерватив, но за съжаление не дава сигурност срещу другите инфекции.",0,0,0,0,173
"Съществуват и хапчета (PEP), които могат да се приемат и един ден след сексуалния акт, в случай, че смятате, че сте били изложени на опасност.",0,0,0,0,142
"Какво да правя, ако партньора ми усеща болка, докато съм ‘активен’?",0,0,0,0,67
"Понякога аналният секс може да бъде болезнен и приятен едновременно, а за някои хора по-интензивните усещания са страхотно изживяване.",0,0,0,0,134
"При добра комуникация и повече внимание от ваша страна, контузиите не са толкова вероятни.",0,0,0,0,90
"Добра идея е често да питате партньора ви как се чувства, дали му харесва и т.н.",0,0,0,0,80
"Ако болката, обаче, е по-силна и партньорът ви не се чувства добре е добре да забавите или да спрете.",0,0,0,0,101
Оставете на пасивния сам да определи дали и кога е добре да продължите.,0,0,0,0,71
В някои случаи аналният секс може да доведе и до по-сериозни наранявания.,0,0,0,0,73
"Понякога това се случва дори когато сте внимателни и не означава, че не сте добри в леглото.",0,0,0,0,92
Как да запазя възбудата си по време на секс?,0,0,0,0,44
"За някои хора е лесно да останат възбудени през целия сексуален акт, но при други ситуацията и възбудата може да варира.",0,0,0,0,120
"Съществуват няколко трика, които може да използвате в този случай – единият от тях е т.нар.",0,0,0,0,91
"cock ring/пенис пръстен, а друг е да намалите алкохола, тъй като той често оказва влияние.",0,0,0,0,90
"При някои хора помагат и лекарствата за мъжка потентност, но не ви препоръчваме да ги използвате без консултация с медицинско лице.",0,0,0,0,131
"В крайна сметка, ако не сте възбудени през цялото време, това не е края на света.",0,0,0,0,81
"Винаги може да извадите, да си отдъхнете, да се заиграете по други начини и после да продължите, когато се възбудите отново.",0,0,0,0,124
Автор: Мат Баум,0,0,0,0,15
"Казваме се Марина и Ради и живеем в Лондон, Великобритания от 2003 и 2008 респективно.",0,0,0,0,86
"Запознахме се тук, през зимата на 2008 в един център за обучение в северен Лондон, който специализира в провеждането на кратки курсове за различни видове сертификати и квалификации.",0,0,0,0,181
"Ради си спомня, че ме е чула да говоря на български по телефона.",0,0,0,0,64
"Аз помня, че се заговорихме във фоайето на сградата и от дума на дума предположихме, че сме там, за да посетим един и същи курс, докато не се озовахме в стая в която бяхме информирани, че аз съм на правилното място, но Ради липсва от списъка с имена на провеждащият обучението.",0,0,0,0,277
"Разговорът ни макар и кратък явно е бил толкова приятен и за двете, че инстинктивно ни се е искало да прекараме остатъка от деня заедно.",0,0,0,0,136
"Ради откри стаята, в която всъщност се провеждаше нейния курс, и повече не се видяхме.",0,0,0,0,86
"До пролетта на 2009, когато едно познато, усмихнато, чаровно лице с излъчване на пакостник се появи на работното ми място.",0,0,0,0,122
Станахме близки веднага след това и започнахме да прекарваме много време заедно извън работа.,0,0,0,0,93
"По това време аз бях в няколко годишна връзка с бащата на все още неродения ми син, а Ради тъкмо беше набрала смелост да излиза публично на светло за сексуалността си.",0,0,0,0,167
"Смените ни на работа често се разминаваха, и се изпращахме на метростанцията след края на моята смяна и преди началото на нейната, за да можем да наваксаме с разговорите.",0,0,0,0,170
Имахме толкова много общи теми и никога не ни беше скучно заедно.,0,0,0,0,65
"Спомням си как в един такъв ден тя внезапно изстреля “Между другото, аз съм лесбийка”, веднага след което въздъхна “Ох, казах го на няколко души вече, и ти си първият човек на който го съобщавам без да ми избие пот по дланите.” Аз ѝ отвърнах “Е, аз пък съм бисексуална, въпреки че не ми се е налагало да го заявявам официално.” В последствие тя сподели, че от ранна тийнейджърска възраст е знаела, че ще напусне България, за да може да бъде свободно себе си.",0,0,0,0,458
"Моите причини да дойда в Англия не бяха свързани толкова със сексуалната ми ориентация, колкото с усещането, че България въобще не е в унисон с вътрешния ми свят.",0,0,0,0,162
"Преди да емигрирам работех като учителка по английски на ученици от първи клас в 121 СОУ и въпреки че обожавах работата си и децата също много ме обичаха, не плувах в свои води в България.",0,0,0,0,188
"Надделя нуждата, която дълго време изпитвах, а именно да се изгубя на непознато място, за да се почувствам у дома си.",0,0,0,0,117
"Родих на 1 юни 2010 г, и малко след това, връзката с бащата на сина ми се разпадна съвсем.",0,0,0,0,90
"Ради беше наоколо и ми беше постоянна подкрепа в този труден момент и вече можех да призная пред себе си, че отвъд близостта и приятелството ни има нещо по-специално.",0,0,0,0,166
Така постепенно се зароди връзката ни.,0,0,0,0,38
"Ради винаги е твърдяла, че влюбвайки се в мен, се е влюбила и в растящото в мен малко човече, и аз винаги съм го усещала.",0,0,0,0,121
И така естествено тя влезе в ролята на другия родител и това постави началото на нашето семейство.,0,0,0,0,98
"Няма да е изненада за никого ако призная, че едно от многото предимства на това да сме семейство тук е, че се радваме на права, които не бихме имали в България.",0,0,0,0,160
"Не ни се налага да се сблъскваме с враждебно хомофобско отношение, докато то е ежедневие за много семейства като нашето в България.",0,0,0,0,131
"Разбира се, и тук има достатъчно хора които таят предразсъдъци към ЛГБТИ+ общността, но им се налага да се съобразяват и са наясно, че ако си позволят да дискриминират на основа сексуална ориентация и полова идентичност, ще си носят легалните последствия.",0,0,0,0,255
"В последните няколко години сериозно обмисляме емиграция към един остров в южното полукълбо, защото въпреки предимствата с легалния ни статус на семейство тук, се появиха фактори които правят Великобритания чувствително по-малко приятно за живеене място от преди.",0,0,0,0,263
"Тепърва започват да се усещат отрицателни промени покрай излизането на Обединеното кралство от ЕС, които ще се задълбочават с времето, и с които не желаем да правим компромис.",0,0,0,0,175
"И въпреки трудностите и несправедливостите, с които се сблъскваме в ежедневието си в резултат на неадекватни политики, за нас няма вариант да се завърнем в България.",0,0,0,0,165
"Няма как след единадесет години заедно, да заживеем на място, на което ще ни се налага да цензурираме съществуването си и на което можем да бъдем себе си предимно зад затворени врати.",0,0,0,0,183
"Място, на което детето ни ще е подложено на тормоз в училище, защото семейството му не е като тези на болшинството от съучениците му.",0,0,0,0,133
"Следим с интерес и вълнение дейността на организациите, които са се посветили на борба за правата на ЛГБТИ+ общността в България и изпитваме огромно уважение към всички активисти, чиято работа често е свързана с немислими за нашата реалност перипетии, стрес и понякога дори смъртни заплахи .",0,0,0,0,291
"Досега не сме имали възможност да присъстваме физически на София Прайд, тъй като датата съвпада с момент от годината, в който е почти невъзможно да пътуваме заради семейни ангажименти.",0,0,0,0,184
"Най-големият медицински център в Израел и здравни работници от болници в цялата страна се обявиха срещу изказвания на съюзници на Бенямин Нетаняху, които призовават за закон, позволяващ дискриминация на ЛГБТИ+ хората в болниците и здравните предприятия.",0,0,0,0,253
"Това е част от по-широката реакция срещу изказвания, направени миналата седмица от политици от Религиозния ционизъм, които призовават за законова дискриминация на общността.",0,0,0,0,173
"Новото правителство на Нетаняху – най-религиозното и твърдолинейно в историята на Израел – е съставено от ултраортодоксални партии, ултранационалистическа религиозна фракция и неговата партия „Ликуд„.",0,0,0,0,200
Правителството положи клетва в четвъртък и назначи първият открит гей говорител.,0,0,0,0,80
"По-рано тази седмица двама съюзници на Нетаняху от ултранационалистическата партия Религиозен ционизъм заявиха, че тяхната фракция се стреми да промени антидискриминационния закон по начин, който би позволил на лекарите да отказват услуги на ЛГБТИ+ хора въз основа на религиозни убеждения.",0,0,0,0,289
"Орит Струк, депутат от Религиозната ционистка партия, заяви, че нейната партия се стреми към промяна в антидискриминационния закон на страната, която да включва разрешение на религиозните здравни заведения да отказват да лекуват ЛГБТИ+ пациенти, „стига да има достатъчно други лекари, които да предоставят грижи„.",0,0,0,0,313
"По-късно Нетаняху упрекна Струк за забележките ѝ, като заяви, че при новото правителство няма да има ограничаване на правата на ЛГБТИ+ общността.",0,0,0,0,145
"В отговор на анти-ЛГБТИ+ наративите на членовете от новото правителство медицински център „Шеба“ пусна видео в Instagram на медици от цялата страна, в което те заявяват „Ние лекуваме всички“.",0,0,0,0,191
Скандалът може да е знак за това какво предстои на Нетаняху и новото му правителство.,0,0,0,0,85
"Партньорите му се стремят към широкообхватни промени, които могат да отчуждят голяма част от израелската общественост, да повишат риска от конфликт с палестинците и да поставят Израел в сблъсък с някои от най-близките му поддръжници, включително САЩ и американската еврейска общност.",0,0,0,0,283
